Model,Accuracy,Precision,Recall,F1 Score
Gradient Boosting,0.918285575522098,0.6607818411097099,0.5646551724137931,0.6089482858803021
Random Forest,0.9154929577464788,0.6514360313315927,0.5377155172413793,0.58913813459268
XGBoost,0.9130645944633318,0.6267942583732058,0.5646551724137931,0.5941043083900227
Logistic Regression,0.9102719766877124,0.6604414261460102,0.4191810344827586,0.5128543177323666
Support Vector Machine,0.9074793589120932,0.6812227074235808,0.3362068965517241,0.4502164502164502
Decision Tree,0.8902379796017484,0.5121212121212121,0.5463362068965517,0.5286757038581856
