Feature,Coefficient,Abs_Coefficient
feature_0,0.3007114220830721,0.3007114220830721
feature_7,-0.22076495211821404,0.22076495211821404
feature_8,-0.2076352161527688,0.2076352161527688
feature_2,-0.15221852734506547,0.15221852734506547
feature_3,0.10578590552394221,0.10578590552394221
feature_9,0.09110488952278255,0.09110488952278255
feature_1,-0.07140158729420755,0.07140158729420755
feature_5,-0.06645584014078869,0.06645584014078869
feature_6,0.023784158120353897,0.023784158120353897
feature_4,0.022784629142603145,0.022784629142603145
